timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
9172;32247;33828;3151;2527;48
9192;32247;32511;1797;2519;47
9212;32247;34449;2903;2547;51
9232;32247;34095;2679;2557;43
9253;32277;34862;2800;2539;31
9273;32277;35534;1921;2527;27
9293;32277;32865;3253;2530;38
9313;32277;32462;3002;2534;54
9334;32277;36906;1642;2529;40
9354;32277;35966;2410;2550;30
9374;32220;33781;4003;2527;42
9394;32220;34803;3319;2547;42
9415;32220;35505;2871;2515;33
9435;32220;33658;2469;2497;30
9455;32220;32916;1693;2527;63
9475;32220;35103;3810;2571;40
9496;32236;35709;2571;2553;27
9516;32236;33858;2431;2532;21
9536;32236;33229;3143;2520;58
9556;32236;35440;2827;2533;38
9577;32236;37225;2532;2573;27
9597;32236;35847;2964;2532;19
9617;32298;32605;2475;2533;55
9637;32298;34561;2212;2551;30
9658;32298;36906;2661;2566;32
9678;32298;35191;3064;2554;41
9698;32298;34584;2329;2557;32
9718;32298;35240;3818;2533;31
9739;32298;37135;1899;2532;16
9759;32344;36766;2183;2552;21
9779;32344;34159;2925;2560;26
9799;32344;34482;3347;2550;50
9820;32344;38880;3573;2566;23
9840;32344;40398;1973;2562;20
9860;32344;38138;2826;2548;32
9880;32377;39082;4052;2553;29
9901;32377;39419;3011;2558;35
9921;32377;39755;3156;2559;31
9941;32377;39669;2548;2554;20
9961;32377;39833;2547;2539;49
9982;32377;40607;2473;2546;23
10002;32800;38640;4074;2560;40
10022;32800;40601;2837;2534;35
10042;32800;38529;2293;2566;29
10063;32800;38692;2616;2577;19
10083;32800;38483;2634;2544;36
10103;32800;36624;3899;2563;39
10123;32800;38271;2897;2576;24
10144;35690;37861;2212;2573;46
10164;35690;36999;2551;2560;31
10184;35690;36308;2861;2577;36
10204;35690;37596;3236;2572;22
10225;35690;38324;1352;2548;47
10245;35690;37147;3381;2549;33
10265;40540;36699;2346;2579;37
10285;40540;36962;1656;2553;20
10306;40540;36584;1610;2547;53
10326;40540;37073;2523;2547;49
10346;40540;37697;4046;2563;38
10366;40540;38903;2734;2548;31
10387;43143;35964;3380;2563;35
10407;43143;37774;2991;2567;45
10427;43143;37352;1837;2534;45
10447;43143;37502;2349;2546;36
10468;43143;39107;1996;2566;23
10488;43143;36400;2513;2559;59
10508;43143;37781;1748;2559;34
10528;43198;37781;1722;2541;31
10549;43198;38229;2327;2539;19
10569;43198;38485;4062;2539;44
10589;43198;38093;1455;2531;30
10609;43198;36762;2462;2511;26
10630;43198;38486;3004;2520;20
10650;42553;37067;3009;2556;34
10670;42553;37790;4044;2546;31
10690;42553;37111;2693;2548;21
